date,country,hs_code,commodity,critical,import_value_usd_m,export_value_usd_m,year,month,import_volume_teu,export_volume_teu
2026-03-01,ALGERIA,2709,Crude Petroleum Oils,True,0.0,0.0,2026,3,0.0,0.0
2026-03-01,ANGOLA,2709,Crude Petroleum Oils,True,14.132499,0.0,2026,3,15.5,0.0
2026-03-01,ARGENTINA,2709,Crude Petroleum Oils,True,252.277721,0.0,2026,3,277.5,0.0
2026-03-01,AUSTRALIA,2709,Crude Petroleum Oils,True,0.0,73.754201,2026,3,0.0,81.1
2026-03-01,BRAZIL,2709,Crude Petroleum Oils,True,222.245621,105.494847,2026,3,244.5,116.0
2026-03-01,CAMEROON,2709,Crude Petroleum Oils,True,0.0,0.0,2026,3,0.0,0.0
2026-03-01,CANADA,2709,Crude Petroleum Oils,True,7076.908655,929.467774,2026,3,7784.6,1022.4
2026-03-01,CHINA,2709,Crude Petroleum Oils,True,0.0,0.0,2026,3,0.0,0.0
2026-03-01,COLOMBIA,2709,Crude Petroleum Oils,True,356.167195,197.853404,2026,3,391.8,217.6
2026-03-01,COTE D'IVOIRE,2709,Crude Petroleum Oils,True,1.983806,0.0,2026,3,2.2,0.0
2026-03-01,DEMOCRATIC REPUBLIC OF THE CONGO,2709,Crude Petroleum Oils,True,33.611,0.0,2026,3,37.0,0.0
2026-03-01,DENMARK,2709,Crude Petroleum Oils,True,0.0,73.94835,2026,3,0.0,81.3
2026-03-01,DOMINICAN REPUBLIC,2709,Crude Petroleum Oils,True,0.0,93.965564,2026,3,0.0,103.4
2026-03-01,ECUADOR,2709,Crude Petroleum Oils,True,273.991858,0.0,2026,3,301.4,0.0
2026-03-01,FINLAND,2709,Crude Petroleum Oils,True,0.0,65.089845,2026,3,0.0,71.6
2026-03-01,FRANCE,2709,Crude Petroleum Oils,True,0.0,402.048646,2026,3,0.0,442.3
2026-03-01,GABON,2709,Crude Petroleum Oils,True,29.524251,0.0,2026,3,32.5,0.0
2026-03-01,GERMANY,2709,Crude Petroleum Oils,True,0.0,255.297737,2026,3,0.0,280.8
2026-03-01,GHANA,2709,Crude Petroleum Oils,True,230.746469,0.0,2026,3,253.8,0.0
2026-03-01,GUYANA,2709,Crude Petroleum Oils,True,499.213729,0.0,2026,3,549.1,0.0
2026-03-01,INDIA,2709,Crude Petroleum Oils,True,0.1686,413.811014,2026,3,0.2,455.2
2026-03-01,IRAQ,2709,Crude Petroleum Oils,True,362.458456,0.0,2026,3,398.7,0.0
2026-03-01,IRELAND,2709,Crude Petroleum Oils,True,0.0,57.49044,2026,3,0.0,63.2
2026-03-01,ISRAEL,2709,Crude Petroleum Oils,True,0.0,0.0,2026,3,0.0,0.0
2026-03-01,ITALY,2709,Crude Petroleum Oils,True,0.0,295.596616,2026,3,0.0,325.2
2026-03-01,JAPAN,2709,Crude Petroleum Oils,True,0.0,872.837919,2026,3,0.0,960.1
2026-03-01,KUWAIT,2709,Crude Petroleum Oils,True,0.0,0.0,2026,3,0.0,0.0
2026-03-01,LIBYA,2709,Crude Petroleum Oils,True,112.005219,0.0,2026,3,123.2,0.0
2026-03-01,MALAYSIA,2709,Crude Petroleum Oils,True,0.0,0.0,2026,3,0.0,0.0
2026-03-01,MEXICO,2709,Crude Petroleum Oils,True,714.475427,0.0,2026,3,785.9,0.0
2026-03-01,NETHERLANDS,2709,Crude Petroleum Oils,True,0.0,2327.934949,2026,3,0.0,2560.7
2026-03-01,NICARAGUA,2709,Crude Petroleum Oils,True,0.0,21.137645,2026,3,0.0,23.3
