date,year,month,country,hs_code,commodity,critical,import_value_usd_m,export_value_usd_m,import_volume_teu,export_volume_teu
2021-09-01,2021,9,China,1005,Maize (Corn),False,1630.87,2008.27,1733.3,2376.6
2021-09-01,2021,9,Mexico,1005,Maize (Corn),False,959.62,1241.78,929.4,1039.7
2021-09-01,2021,9,Canada,1005,Maize (Corn),False,1926.69,994.41,1717.4,1172.8
2021-09-01,2021,9,Japan,1005,Maize (Corn),False,1582.43,1945.86,1569.0,2404.5
2021-09-01,2021,9,Germany,1005,Maize (Corn),False,446.81,444.11,518.2,481.3
2021-09-01,2021,9,South Korea,1005,Maize (Corn),False,2475.02,1753.41,2243.2,2116.1
2021-09-01,2021,9,Vietnam,1005,Maize (Corn),False,1942.69,847.46,2078.3,1131.8
2021-09-01,2021,9,India,1005,Maize (Corn),False,1944.34,2513.3,2175.4,3005.9
2021-09-01,2021,9,Taiwan,1005,Maize (Corn),False,487.91,611.24,497.6,759.8
2021-09-01,2021,9,United Kingdom,1005,Maize (Corn),False,1117.18,1011.76,1376.2,1118.4
2021-09-01,2021,9,Brazil,1005,Maize (Corn),False,1116.0,867.55,1326.1,872.2
2021-09-01,2021,9,France,1005,Maize (Corn),False,2027.35,1613.86,1774.9,1379.9
2021-09-01,2021,9,Italy,1005,Maize (Corn),False,1606.9,1590.78,1924.7,1291.5
2021-09-01,2021,9,Netherlands,1005,Maize (Corn),False,1782.97,1030.61,2258.8,1356.7
2021-09-01,2021,9,Thailand,1005,Maize (Corn),False,1050.54,1051.66,922.0,1014.9
2021-09-01,2021,9,Malaysia,1005,Maize (Corn),False,635.73,416.51,766.0,560.7
2021-09-01,2021,9,Singapore,1005,Maize (Corn),False,1234.03,1095.66,1506.5,1503.0
2021-09-01,2021,9,Australia,1005,Maize (Corn),False,405.52,255.31,476.6,253.3
2021-09-01,2021,9,Saudi Arabia,1005,Maize (Corn),False,2160.41,1641.28,2616.8,1335.9
2021-09-01,2021,9,Switzerland,1005,Maize (Corn),False,1460.94,1735.01,1703.7,1850.2
2021-09-01,2021,9,China,1201,Soya Beans,False,2299.54,1586.67,2591.0,1735.7
2021-09-01,2021,9,Mexico,1201,Soya Beans,False,1365.71,956.95,1292.7,1289.6
2021-09-01,2021,9,Canada,1201,Soya Beans,False,2560.99,2968.17,3551.9,3701.3
2021-09-01,2021,9,Japan,1201,Soya Beans,False,2055.06,2232.48,2236.7,2397.4
2021-09-01,2021,9,Germany,1201,Soya Beans,False,485.43,475.89,472.6,454.3
2021-09-01,2021,9,South Korea,1201,Soya Beans,False,2604.79,2003.04,2425.9,2583.2
2021-09-01,2021,9,Vietnam,1201,Soya Beans,False,2271.22,1251.28,1827.2,1253.4
2021-09-01,2021,9,India,1201,Soya Beans,False,2294.44,2650.67,2026.0,3352.0
2021-09-01,2021,9,Taiwan,1201,Soya Beans,False,534.33,401.31,747.6,367.4
2021-09-01,2021,9,United Kingdom,1201,Soya Beans,False,1200.79,937.24,1407.1,1274.4
2021-09-01,2021,9,Brazil,1201,Soya Beans,False,1325.2,613.14,1169.9,781.4
2021-09-01,2021,9,France,1201,Soya Beans,False,2260.68,2704.6,2708.5,2345.2
2021-09-01,2021,9,Italy,1201,Soya Beans,False,1959.45,1094.79,2065.5,1238.5
2021-09-01,2021,9,Netherlands,1201,Soya Beans,False,2190.74,2229.18,2610.5,3110.2
2021-09-01,2021,9,Thailand,1201,Soya Beans,False,1522.33,1316.53,1304.8,1628.2
2021-09-01,2021,9,Malaysia,1201,Soya Beans,False,949.05,651.52,1021.9,687.3
2021-09-01,2021,9,Singapore,1201,Soya Beans,False,1365.5,1372.38,1381.9,1746.3
2021-09-01,2021,9,Australia,1201,Soya Beans,False,502.68,572.6,527.8,568.6
2021-09-01,2021,9,Saudi Arabia,1201,Soya Beans,False,2365.68,2652.52,2589.8,3543.3
2021-09-01,2021,9,Switzerland,1201,Soya Beans,False,1566.49,1865.95,1343.5,1664.6
2021-10-01,2021,10,China,1005,Maize (Corn),False,323.8,197.91,335.4,246.5
2021-10-01,2021,10,Mexico,1005,Maize (Corn),False,214.21,195.71,211.7,173.2
2021-10-01,2021,10,Canada,1005,Maize (Corn),False,347.28,407.6,403.3,418.5
2021-10-01,2021,10,Japan,1005,Maize (Corn),False,340.09,155.77,323.9,146.1
2021-10-01,2021,10,Germany,1005,Maize (Corn),False,99.11,102.63,116.0,82.4
2021-10-01,2021,10,South Korea,1005,Maize (Corn),False,377.78,367.2,388.3,497.4
2021-10-01,2021,10,Vietnam,1005,Maize (Corn),False,363.56,291.81,454.3,404.2
2021-10-01,2021,10,India,1005,Maize (Corn),False,342.11,334.68,462.3,317.7
2021-10-01,2021,10,Taiwan,1005,Maize (Corn),False,110.76,54.03,131.7,68.6
2021-10-01,2021,10,United Kingdom,1005,Maize (Corn),False,227.76,192.68,266.6,171.7
2021-10-01,2021,10,Brazil,1005,Maize (Corn),False,174.08,111.92,201.7,119.2
2021-10-01,2021,10,France,1005,Maize (Corn),False,368.38,440.04,377.4,469.8
2021-10-01,2021,10,Italy,1005,Maize (Corn),False,284.87,160.59,352.9,171.7
2021-10-01,2021,10,Netherlands,1005,Maize (Corn),False,307.7,390.04,396.8,481.4
2021-10-01,2021,10,Thailand,1005,Maize (Corn),False,241.67,293.9,242.3,342.9
2021-10-01,2021,10,Malaysia,1005,Maize (Corn),False,140.9,90.26,131.5,78.4
2021-10-01,2021,10,Singapore,1005,Maize (Corn),False,271.69,299.63,341.4,296.6
2021-10-01,2021,10,Australia,1005,Maize (Corn),False,68.48,55.35,77.3,74.8
2021-10-01,2021,10,Saudi Arabia,1005,Maize (Corn),False,402.44,492.77,527.3,679.4
2021-10-01,2021,10,Switzerland,1005,Maize (Corn),False,285.24,126.28,242.5,130.6
2021-10-01,2021,10,China,1201,Soya Beans,False,621.51,781.79,570.1,1075.5
2021-10-01,2021,10,Mexico,1201,Soya Beans,False,470.02,459.13,566.7,458.6
2021-10-01,2021,10,Canada,1201,Soya Beans,False,787.08,447.08,1072.5,438.6
2021-10-01,2021,10,Japan,1201,Soya Beans,False,585.38,608.82,698.9,651.9
2021-10-01,2021,10,Germany,1201,Soya Beans,False,181.64,98.73,218.7,95.0
2021-10-01,2021,10,South Korea,1201,Soya Beans,False,785.21,428.7,784.8,428.2
2021-10-01,2021,10,Vietnam,1201,Soya Beans,False,670.76,383.26,614.3,431.2
2021-10-01,2021,10,India,1201,Soya Beans,False,621.17,633.6,848.7,669.1
2021-10-01,2021,10,Taiwan,1201,Soya Beans,False,224.53,109.68,185.4,135.2
2021-10-01,2021,10,United Kingdom,1201,Soya Beans,False,479.44,555.55,399.9,703.4
2021-10-01,2021,10,Brazil,1201,Soya Beans,False,370.08,249.07,334.5,348.1
2021-10-01,2021,10,France,1201,Soya Beans,False,700.16,801.2,828.8,994.3
2021-10-01,2021,10,Italy,1201,Soya Beans,False,628.79,737.32,572.4,590.2
2021-10-01,2021,10,Netherlands,1201,Soya Beans,False,748.29,537.62,654.2,490.1
2021-10-01,2021,10,Thailand,1201,Soya Beans,False,417.17,193.24,348.0,260.8
2021-10-01,2021,10,Malaysia,1201,Soya Beans,False,260.0,333.84,358.4,295.6
2021-10-01,2021,10,Singapore,1201,Soya Beans,False,557.34,524.31,676.8,449.7
2021-10-01,2021,10,Australia,1201,Soya Beans,False,137.52,64.49,159.9,89.8
2021-10-01,2021,10,Saudi Arabia,1201,Soya Beans,False,768.18,798.67,1068.4,963.8
2021-10-01,2021,10,Switzerland,1201,Soya Beans,False,501.71,592.17,511.1,475.3
2021-11-01,2021,11,China,1005,Maize (Corn),False,815.67,506.7,1141.4,475.2
2021-11-01,2021,11,Mexico,1005,Maize (Corn),False,584.45,317.48,811.3,296.9
2021-11-01,2021,11,Canada,1005,Maize (Corn),False,898.06,810.69,783.3,1045.9
2021-11-01,2021,11,Japan,1005,Maize (Corn),False,718.55,642.63,811.8,746.5
2021-11-01,2021,11,Germany,1005,Maize (Corn),False,184.68,101.9,165.6,100.0
2021-11-01,2021,11,South Korea,1005,Maize (Corn),False,918.35,1129.32,1017.3,1326.0
2021-11-01,2021,11,Vietnam,1005,Maize (Corn),False,794.12,515.08,875.0,503.0
2021-11-01,2021,11,India,1005,Maize (Corn),False,812.63,656.18,896.7,912.5
2021-11-01,2021,11,Taiwan,1005,Maize (Corn),False,224.17,188.12,199.4,190.0
2021-11-01,2021,11,United Kingdom,1005,Maize (Corn),False,577.7,321.79,663.7,337.9
