chart,series,x,y,hs_code,commodity
line_top10_imports,Crude Petroleum Oils,2026-03-01,12459.877465,2709.0,Crude Petroleum Oils
line_top10_imports,Crude Petroleum Oils,2026-04-01,13893.659486,2709.0,Crude Petroleum Oils
line_top10_imports,Crude Petroleum Oils,2026-05-01,15156.298648,2709.0,Crude Petroleum Oils
line_top10_imports,Crude Petroleum Oils,2026-06-01,14910.17907,2709.0,Crude Petroleum Oils
line_top10_imports,Petroleum Gases,2026-03-01,1364.934269,2711.0,Petroleum Gases
line_top10_imports,Petroleum Gases,2026-04-01,930.702943,2711.0,Petroleum Gases
line_top10_imports,Petroleum Gases,2026-05-01,620.414704,2711.0,Petroleum Gases
line_top10_imports,Petroleum Gases,2026-06-01,768.6274249999999,2711.0,Petroleum Gases
line_top10_imports,Medicaments Packaged,2026-03-01,6144.479094,3004.0,Medicaments Packaged
line_top10_imports,Medicaments Packaged,2026-04-01,6486.3176,3004.0,Medicaments Packaged
line_top10_imports,Medicaments Packaged,2026-05-01,7037.612699,3004.0,Medicaments Packaged
line_top10_imports,Medicaments Packaged,2026-06-01,6818.536268,3004.0,Medicaments Packaged
line_top10_imports,Automatic Data Processing Machines,2026-03-01,32613.158623,8471.0,Automatic Data Processing Machines
line_top10_imports,Automatic Data Processing Machines,2026-04-01,35262.741625,8471.0,Automatic Data Processing Machines
line_top10_imports,Automatic Data Processing Machines,2026-05-01,35711.744148,8471.0,Automatic Data Processing Machines
line_top10_imports,Automatic Data Processing Machines,2026-06-01,35199.413826,8471.0,Automatic Data Processing Machines
line_top10_imports,Telephone Sets & Network Equipment,2026-03-01,14671.273115,8517.0,Telephone Sets & Network Equipment
line_top10_imports,Telephone Sets & Network Equipment,2026-04-01,15223.915972,8517.0,Telephone Sets & Network Equipment
line_top10_imports,Telephone Sets & Network Equipment,2026-05-01,15092.333377,8517.0,Telephone Sets & Network Equipment
line_top10_imports,Telephone Sets & Network Equipment,2026-06-01,17237.599999,8517.0,Telephone Sets & Network Equipment
line_top10_imports,Electronic Integrated Circuits,2026-03-01,4684.700629,8542.0,Electronic Integrated Circuits
line_top10_imports,Electronic Integrated Circuits,2026-04-01,4396.721767,8542.0,Electronic Integrated Circuits
line_top10_imports,Electronic Integrated Circuits,2026-05-01,4476.331643,8542.0,Electronic Integrated Circuits
line_top10_imports,Electronic Integrated Circuits,2026-06-01,5022.811092,8542.0,Electronic Integrated Circuits
line_top10_imports,Motor Cars & Vehicles,2026-03-01,16487.803848,8703.0,Motor Cars & Vehicles
